42.4137890,-82.9943518
42.3621071,-83.2347822
42.3858481,-83.1290819
42.4337000,-83.2460393
42.3474020,-83.0272397
42.3222450,-83.0943536
42.4081052,-82.9318722
42.4326555,-83.1480143
42.4363199,-83.0725357
42.4124420,-83.1966157
42.3805500,-83.1654239
42.4414799,-82.9643782
42.3067381,-83.1237792
42.4330181,-83.1048639
42.3850390,-83.0146410
42.2702908,-83.1568727
42.3428247,-83.2205158
42.3328839,-83.0490248
42.4218744,-83.2718087
42.3830771,-83.0925506
42.3605936,-83.1532648
42.4096214,-83.1687604
42.3901651,-83.2541029
42.3738720,-82.9504993
42.4094442,-83.1374997
42.3590999,-83.1125700
42.3686313,-83.0769616
42.4369494,-83.0295948
42.4330425,-83.2098286
42.3972243,-82.9690285
42.3638110,-83.1947174
42.3627940,-82.9948090
42.4342176,-83.1768780
42.4220799,-82.9542760
42.3339654,-83.1336675
42.4181181,-83.0525187
42.4091633,-83.2319581
42.4366815,-82.9937931
42.3911742,-83.2014867
42.3503003,-83.0649548
