the_geom,NAME,ACRES,PARKID,NEW_CLASS
"MULTIPOLYGON (((-83.02309999558896 42.334303570195736, -83.02253239457157 42.33450173395048, -83.02048546676114 42.33517408076057, -83.02008539165985 42.33534325927282, -83.01938535742845 42.334283199403025, -83.02232158631641 42.33311966904967, -83.02309999558896 42.334303570195736)))",Chene,9.26,486,Plaza
"MULTIPOLYGON (((-82.957822643456 42.426547866356124, -82.95721539720483 42.427346026196155, -82.95701080815013 42.4272615330396, -82.95658700947911 42.42708690048277, -82.95616323376953 42.426911355984615, -82.95598178894046 42.42683625437482, -82.95555799603999 42.42666161797792, -82.95513422611586 42.42648606963991, -82.9557341060455 42.425668502090815, -82.957822643456 42.426547866356124)))",Skinner,6.88,51,Neighborhood
"MULTIPOLYGON (((-83.2761508608316 42.3926159337821, -83.27574610136173 42.392721314470805, -83.27549997727105 42.393027631658825, -83.27465568854078 42.39304865518986, -83.27468232108062 42.39426451569268, -83.27467003875664 42.39426439760481, -83.27470686142739 42.3953191860069, -83.27472599887733 42.395840213213, -83.2747720492582 42.397140032234496, -83.27481042394686 42.39824673761141, -83.27481034429566 42.3982512896707, -83.27362689106216 42.39827359828013, -83.27366903042102 42.4000058986566, -83.27335123996903 42.39998280785943, -83.27188259050814 42.399802939362424, -83.27096651747716 42.39984874030231, -83.26915905343611 42.40016561856706, -83.26888962554101 42.39918565557314, -83.26998605412075 42.39908441935308, -83.27031178457274 42.399074815898, -83.27000450616887 42.39887334627598, -83.26968885152074 42.398729160546644, -83.2693412576418 42.398654778935395, -83.26924789404625 42.39858467393631, -83.2691494892973 42.39852180467472, -83.26905108474664 42.39845893532779, -83.26895266437853 42.39839697630653, -83.26885303191162 42.398334094917104, -83.26875461193704 42.398272135724, -83.268639967818 42.398224588659815, -83.26852530785177 42.39817795189082, -83.2684106480569 42.39813131500604, -83.26829598843342 42.39808467800544, -83.26818132898133 42.39803804088905, -83.26804478462398 42.39797844405727, -83.26784835828177 42.39790096702186, -83.26767970232825 42.39785107531817, -83.26749858723318 42.39781107901991, -83.26736392322883 42.39778427993244, -83.26731874878854 42.39776836308876, -83.26724655177922 42.39775218466954, -83.26718421328454 42.397734280501645, -83.26711699371465 42.397714507915964, -83.26703763559419 42.39768642268027, -83.26695293829256 42.397612757389304, -83.26686950157806 42.397537283106715, -83.26670259665795 42.39738815517872, -83.26661916054654 42.39731268071177, -83.26645225682537 42.397163552414995, -83.26628536995624 42.39701351346167, -83.26621156845341 42.39694905881863, -83.26618376749134 42.39692329360882, -83.2661511176467 42.39689383914571, -83.26614959234381 42.39684101152463, -83.26616238895214 42.3968119973922, -83.26620346004 42.396712233037306, -83.26624063745255 42.396624268306354, -83.26536707537042 42.39663037061553, -83.26514960603107 42.396631904076955, -83.26511407830628 42.3954432703561, -83.26510921586717 42.39530117483473, -83.26506573058393 42.39386752148242, -83.2646025298561 42.39387213355238, -83.26459088523828 42.39341855842199, -83.26464617093858 42.393418184301, -83.26463668968901 42.3931203370438, -83.26463806259291 42.39311215526618, -83.26463358094927 42.392879006742575, -83.26462866813638 42.39287895907293, -83.26460461992829 42.392153914737165, -83.26459156982499 42.39205817861403, -83.26459109729147 42.392015377399304, -83.26461480260943 42.39199466439268, -83.26469338403383 42.391927134380175, -83.26626616472596 42.39050915228598, -83.26626695109589 42.390325225495516, -83.2662599030292 42.390167629220365, -83.2662565394393 42.390010068643704, -83.26625201193418 42.38984885452302, -83.26624869654025 42.389688562712266, -83.2662418893866 42.38951731027048, -83.26623165471798 42.389331455553425, -83.26608877395125 42.3892144290711, -83.2659824967421 42.38911141566107, -83.26587741589468 42.3890102348769, -83.26577477557896 42.38890998821618, -83.26567333159409 42.3888115741902, -83.26557928878259 42.388711410694974, -83.26535437842404 42.38837049911175, -83.26520963281897 42.388150559375, -83.26514569991652 42.38808437849178, -83.26510856055012 42.38803120539543, -83.2651034898016 42.38790094518614, -83.26508897549375 42.387540220021485, -83.26508940253368 42.38744643580211, -83.26508792656817 42.38739087692152, -83.26539325618161 42.38679377481625, -83.26538399012176 42.38641397868897, -83.26538719589423 42.38616269339456, -83.27112639815573 42.386054302472765, -83.27300480089544 42.38988858782961, -83.27526659856096 42.38986572838386, -83.27526851189552 42.39137182146699, -83.27533971423865 42.39137432680711, -83.27529977442262 42.389865136631826, -83.27538702054461 42.3898632433072, -83.2754007774755 42.39153517300411, -83.27614154439081 42.3915322720302, -83.2761508608316 42.3926159337821)))",Eliza Howell,251,56,Regional
"MULTIPOLYGON (((-82.95362407992302 42.359464120249, -82.95009617137194 42.360725063637204, -82.95009024041222 42.3607158834414, -82.94916594950374 42.359297439812075, -82.94925261668224 42.35926573981332, -82.94913631333169 42.35908853813079, -82.94904966700985 42.359119327680716, -82.94758564153922 42.35687092919814, -82.94767228546311 42.356840140764575, -82.94749313107867 42.35656562595167, -82.94753646320777 42.356549776598435, -82.94736917052758 42.356293622248124, -82.94723921587061 42.356339349347095, -82.94668279157952 42.35548642480234, -82.94667686161915 42.355477244427426, -82.95077879538889 42.35509685498294, -82.95110747305854 42.35559997325157, -82.9511596419662 42.3556816688636, -82.95276145191929 42.35813935725028, -82.95361814856439 42.3594549402373, -82.95362407992302 42.359464120249)))",Maheras,52.68,5,Community
"MULTIPOLYGON (((-83.23795615737329 42.424523390289664, -83.23754795804795 42.42453208289828, -83.23754056863962 42.42453292004229, -83.23753715312259 42.42445002427477, -83.2352489664698 42.424501931005494, -83.23524904904157 42.424497378978266, -83.23513696787957 42.42254582217008, -83.23513705045693 42.422541270142595, -83.23783826638024 42.422480722322874, -83.23783941278106 42.42248528655944, -83.23785419644034 42.42275496201428, -83.23795615737329 42.424523390289664)))",Milan,12.05,62,Neighborhood
"MULTIPOLYGON (((-83.09713383149716 42.370980444213195, -83.09770211814364 42.370761669253795, -83.09726690021765 42.37012430105086, -83.0989570519899 42.36947852218955, -83.09920938643683 42.36986727338615, -83.09941988511613 42.37018051433033, -83.09879379375617 42.37039865224341, -83.09906014972817 42.37080900108781, -83.09737127057717 42.37139047375789, -83.09713383149716 42.370980444213195)))",Williams,8.5,7,Neighborhood
"MULTIPOLYGON (((-83.06052123026784 42.41444792277088, -83.05896929422721 42.415027422428956, -83.05275633377227 42.41518703281331, -83.05245758412461 42.41175153005766, -83.05663659273685 42.411645904947584, -83.0566928153103 42.41294779816119, -83.05946043023084 42.41287768953046, -83.06052123026784 42.41444792277088)))",Jayne (Cleveland School),47.38,89,Sports
"MULTIPOLYGON (((-83.05784087985114 42.429508413163504, -83.05522970349347 42.429527481609384, -83.05517370794814 42.427923272318196, -83.05778302815884 42.42787231363701, -83.05784087985114 42.429508413163504)))",Krainz,9.72,94,Neighborhood
"MULTIPOLYGON (((-83.13627817334459 42.30781163747704, -83.13751111721267 42.30731052450828, -83.13768792969132 42.30755192483311, -83.13953247336002 42.30795252198482, -83.13984485626563 42.3071627807261, -83.1395218479188 42.30649455832658, -83.14324993470426 42.30498957017849, -83.14377071820525 42.305708175331546, -83.1400210936329 42.31162109596913, -83.13749837904938 42.31375825041927, -83.1353830964487 42.31581964224045, -83.13352148181518 42.31658434595539, -83.13281314020323 42.31672871148486, -83.13258185517141 42.31669796731243, -83.13478599816987 42.31231377330126, -83.13484807602626 42.3124009532535, -83.13538230662263 42.31218639168413, -83.13520517350047 42.312023294812754, -83.13838407325387 42.31076837277146, -83.13773367110971 42.30990446565551, -83.13781402328021 42.309873465710034, -83.13627817334459 42.30781163747704)))",Patton,84.99,138,Community
"MULTIPOLYGON (((-83.25533186720249 42.357363623113194, -83.26474265402162 42.35720496404027, -83.26498400919019 42.36426147038036, -83.2601752514808 42.36435857175676, -83.26041602124755 42.37142054936786, -83.24611777848733 42.37166550343706, -83.24585744452922 42.364620587355766, -83.24851771224027 42.36458034920891, -83.24815737862387 42.35748437346644, -83.25453729997612 42.357376784130736, -83.25533186720249 42.357363623113194)), ((-83.26454213529613 42.35690409670728, -83.26012842179424 42.356978034467154, -83.25965367349109 42.35709028404242, -83.25752455027059 42.357186378320776, -83.25618737467245 42.357056425841925, -83.25343113592497 42.35697098845839, -83.2469659982862 42.357199595198985, -83.24684197149729 42.35532831033142, -83.24904877909137 42.35529162120338, -83.24898359795846 42.354531267207456, -83.24900660586636 42.353245826972426, -83.24679987054242 42.35328251528238, -83.24670100656448 42.350008932135665, -83.2447317454725 42.34998948278068, -83.24233522661446 42.34306991041511, -83.24454370332718 42.342916450763404, -83.24580598475066 42.34281204621551, -83.2534614696511 42.34201080927361, -83.25399058205468 42.34768461634461, -83.26283791078473 42.355251237137026, -83.26441448818763 42.35520811880042, -83.26454213529613 42.35690409670728)))",Rouge Park,1181.39,149,Regional
"MULTIPOLYGON (((-83.07878714178521 42.33127853315656, -83.0770406234025 42.33128601309124, -83.07740167153386 42.330323063043245, -83.07741737180581 42.33027589044214, -83.07753761291359 42.33009877982762, -83.07777305296887 42.32992935199202, -83.07783994565628 42.32989915160601, -83.07796124233617 42.32990872477321, -83.07803833832997 42.32997880574353, -83.07878714178521 42.33127853315656)), ((-83.07689417867566 42.329938487048004, -83.0764530867106 42.331092661202774, -83.07644921782317 42.331101723172026, -83.07644551817017 42.33110259169773, -83.0764039899264 42.33109301348543, -83.07562414341126 42.32969457208919, -83.07612930234522 42.32953823301379, -83.0761127273472 42.32950890539042, -83.0765411943387 42.32938174181283, -83.07656907497562 42.32939844957618, -83.07667958246995 42.32951444122404, -83.07668798290047 42.32952364269872, -83.07669272137657 42.32953189194125, -83.07679662979614 42.32972976211483, -83.0768434083151 42.32978219790945, -83.07685180880576 42.32979139937197, -83.07685900117221 42.32979967650336, -83.07689496303303 42.329841062153484, -83.07689417867566 42.329938487048004)), ((-83.07920859540033 42.329943829559156, -83.07842429590514 42.33018716220945, -83.0780271149833 42.32951154243249, -83.07882377052921 42.32926379987802, -83.07920859540033 42.329943829559156)), ((-83.07734052812913 42.330074686048036, -83.07688461234517 42.331293345684166, -83.0765533349094 42.33128957935748, -83.07655640449703 42.33120037581212, -83.07702167154707 42.330004588630516, -83.0770319004648 42.32998467177926, -83.07710104068977 42.329964513930555, -83.07727932649352 42.33000751701586, -83.07729648469959 42.33000862260349, -83.0773330294822 42.3300217862495, -83.07734052812913 42.330074686048036)), ((-83.07777011166402 42.32977451722133, -83.0777688471716 42.32977632404897, -83.0775730956966 42.32986607034081, -83.07734434260915 42.329889878348496, -83.07712320868342 42.32984183538524, -83.07694631438316 42.329731463735364, -83.07684641087604 42.329577347859356, -83.07684952263183 42.32954551236157, -83.07691503806304 42.329522581634215, -83.07776638737938 42.329717107351065, -83.07777361742681 42.329723563658845, -83.07777011166402 42.32977451722133)))",Roosevelt,9.45,155,Neighborhood
"MULTIPOLYGON (((-83.00901483287859 42.34184652211369, -83.00889671303256 42.34188466041693, -83.0084577078637 42.3420202862297, -83.00744543914065 42.34245345344747, -83.0071186132141 42.34196054181309, -83.00689681323504 42.342056229985104, -83.00688964855217 42.34204703805213, -83.00610173220842 42.34085835626137, -83.00609579490498 42.34084917899108, -83.00744343511023 42.34000753611712, -83.00821000890276 42.34110123171213, -83.00910234352952 42.340763856931275, -83.0097515770358 42.34179996190772, -83.00934340290785 42.341937465993, -83.00901483287859 42.34184652211369)))",Mt. Elliott Park,8.15,3,Neighborhood
"MULTIPOLYGON (((-83.04770462703017 42.35788683957589, -83.04492792430815 42.35883635800951, -83.04399289223952 42.35739316780465, -83.04670824213764 42.35639675618922, -83.04770462703017 42.35788683957589)))",Forest,8,501,Neighborhood
"MULTIPOLYGON (((-83.15802565616761 42.4432578739528, -83.15590137060897 42.44331266538805, -83.15581639038018 42.441104511301084, -83.15794182992371 42.44104973452069, -83.15794177698167 42.441052465700444, -83.15802570910786 42.44325514277325, -83.15802565616761 42.4432578739528)))",Louis,10.03,123,Neighborhood
"MULTIPOLYGON (((-83.03207571158389 42.34295915769626, -83.0298295884362 42.34392618924131, -83.02909989026624 42.344239034334315, -83.02997917882949 42.345482352610254, -83.03077937404866 42.34669468271927, -83.03057368407507 42.346784232330485, -83.0298543315725 42.34569487401411, -83.02894450161865 42.3443300843937, -83.02717188121517 42.34507863620978, -83.02659783213909 42.34420041038009, -83.02661022130135 42.344195093048185, -83.02770544613936 42.34372357896361, -83.02720835055767 42.34309212735034, -83.02720116324163 42.34308384707419, -83.02792594875446 42.34277095627721, -83.02721262913695 42.341690757294764, -83.02656117177479 42.34070325518579, -83.02671481992574 42.34063586362304, -83.02706909991947 42.34117183959067, -83.02732350745032 42.341557296510274, -83.02765518462111 42.34206022198319, -83.02894857925808 42.34150361656862, -83.03063837241137 42.340776828383085, -83.03068580230966 42.340854788135694, -83.02994126278986 42.34117474828088, -83.02998522503067 42.34124265083902, -83.02997285622571 42.34124705816484, -83.02841682352258 42.34191713549238, -83.02879966068673 42.342496240962674, -83.02945284609491 42.342258987196885, -83.02960978307566 42.34249668288202, -83.02976689946865 42.342439344685246, -83.02997019725808 42.34274770253311, -83.02981309976322 42.34280413063649, -83.02995580053 42.343018892996454, -83.02947829125765 42.343191745791415, -83.02985516603157 42.34376349239533, -83.03199843565814 42.342841691581974, -83.03207571158389 42.34295915769626)))",Elmwood-Central,15.51,460,Neighborhood
"MULTIPOLYGON (((-83.07100953933109 42.35074206334258, -83.07157118927225 42.3516930879379, -83.07081152266622 42.35194623949534, -83.07025041479704 42.35096954835801, -83.07100953933109 42.35074206334258)))",Stone Memorial Pool,1.94,285,Mini
"MULTIPOLYGON (((-83.07488752628514 42.34331979618685, -83.07487517906964 42.34332329802352, -83.07447859537855 42.3434471770823, -83.07447385613918 42.34343892774836, -83.07443597994306 42.343371112305455, -83.07433089639638 42.34340725013177, -83.07435691501611 42.34345489745412, -83.07434456774415 42.343458399233064, -83.07392574189014 42.34358930786418, -83.07391462176192 42.3435928235759, -83.07335459522135 42.342599355634015, -83.07343535886457 42.34249282561761, -83.07471468448597 42.34301186812598, -83.07488752628514 42.34331979618685)))",Scripps,1.25,169,Mini
"MULTIPOLYGON (((-83.16730524288494 42.351671614351865, -83.16821124491175 42.35231039644446, -83.16644777402966 42.35234093357399, -83.16730524288494 42.351671614351865)))",Tireman-Littlefield,1.94,401,Mini
"MULTIPOLYGON (((-83.24482792571379 42.41966071071583, -83.24482903982766 42.4196670956963, -83.24482894158808 42.41967255813823, -83.24482882697521 42.41967893098715, -83.24482627128127 42.419684369165985, -83.24482371558686 42.419689807344795, -83.24482115989203 42.41969524552352, -83.24481614674177 42.41970065943888, -83.24481114996418 42.41970516294703, -83.24480616955948 42.41970875604798, -83.24479996042648 42.41971233701689, -83.24479252256499 42.41971590585353, -83.24478511745049 42.41971765387573, -83.24477646723369 42.41972030017234, -83.24477032359437 42.419720239511676, -83.24382854461768 42.419742806617386, -83.24382241736505 42.41974183549865, -83.24381509416068 42.419739031423426, -83.24380899968499 42.419736239490284, -83.24380290520982 42.41973344755683, -83.24379805585139 42.41972975735888, -83.24379322288193 42.41972515675387, -83.24378961864088 42.41972056829143, -83.24378601440033 42.419715979828894, -83.24378365527635 42.419710493102215, -83.24378375360752 42.41970503066121, -83.24378262321142 42.419699556077354, -83.24375430003963 42.419224869822365, -83.2437531368771 42.41922121605182, -83.24375325159903 42.41921484320388, -83.24375336632093 42.41920847035594, -83.2437559384777 42.419202121794285, -83.24375851063397 42.41919577323258, -83.24376106640099 42.41919033507765, -83.24376485088469 42.41918490906571, -83.24376986408473 42.419179495196644, -83.24377610600081 42.41917409347025, -83.243782315139 42.41917051255724, -83.24471065148445 42.41914326033924, -83.2447180401581 42.41914242272887, -83.24472664117341 42.419142507657625, -83.24473524218872 42.41914259258575, -83.24474381045533 42.4191444983272, -83.24475237872248 42.419146404068, -83.24475970189938 42.41914920808288, -83.24476702507697 42.4191520120973, -83.24477433188129 42.41915572651822, -83.2447803935958 42.41916033921364, -83.24478645531124 42.41916495190873, -83.24479127193685 42.419170462878576, -83.24479485984618 42.41917596171632, -83.24479843138255 42.419182370960975, -83.24480079057582 42.41918785766665, -83.24482792571379 42.41966071071583)))",Reid,1.23,147,Mini
"MULTIPOLYGON (((-83.02755722250716 42.33269355339228, -83.02668441832324 42.33145252840812, -83.02715053375026 42.33127697445383, -83.02807485314894 42.332506574198774, -83.02755722250716 42.33269355339228)))",Orleans Atwater,1.87,489,Mini
"MULTIPOLYGON (((-83.0255297933857 42.38090246296299, -83.02551741640747 42.380906869800306, -83.02520919973631 42.38101796517409, -83.02519682271254 42.38102237197645, -83.0251480433953 42.38094894734133, -83.02516042040797 42.38094454054429, -83.02546865636577 42.380832534929404, -83.02547980541723 42.380828113594, -83.0255297933857 42.38090246296299)))",Helen-Longyear,0.41,451,Mini
"MULTIPOLYGON (((-83.04169701000697 42.32917428914576, -83.0420178476572 42.32903324974982, -83.04217685614492 42.32923179620352, -83.04210252759154 42.32926462075117, -83.04204872606918 42.32919751866369, -83.04180342408155 42.32930665854826, -83.04169701000697 42.32917428914576)))",Hart Plaza,0,8,Plaza
"MULTIPOLYGON (((-83.14477907668598 42.32660058947962, -83.14442420239601 42.326737907690166, -83.14438834009938 42.32668926030624, -83.14395183103942 42.32685938920835, -83.14465199517964 42.32782760051455, -83.1430477418903 42.32847230575415, -83.14028687808211 42.32464535229202, -83.1426821868021 42.323705088555045, -83.14477907668598 42.32660058947962)))",Romanowski,26.04,106,Community
"MULTIPOLYGON (((-83.0962100468032 42.44637909863735, -83.09618076807347 42.446367844309464, -83.09615640624197 42.4463566449307, -83.09613202586796 42.446346355929926, -83.0961089118267 42.44633425989716, -83.09608579779442 42.44632216385969, -83.09606270232338 42.446309157434314, -83.09604085463528 42.44629525436143, -83.0960202361773 42.446281365024966, -83.09599961772851 42.44626747568475, -83.09597903639587 42.44625176557441, -83.09595966573934 42.44623697958479, -83.09594156141927 42.44622038656695, -83.09592343855454 42.446204703929425, -83.09590658202652 42.44618721426447, -83.09588970695319 42.446170634980184, -83.09587409821667 42.44615224866923, -83.09585970015164 42.446134786481664, -83.09584532065003 42.44611641390906, -83.09583217037367 42.4460980550773, -83.09582026787716 42.446078799603605, -83.095809594604 42.446059557871536, -83.09579893989347 42.44603940575529, -83.09578949584882 42.44602017776431, -83.09578007036632 42.446000039389375, -83.09577187410429 42.44597991475694, -83.09576492561808 42.44595889348412, -83.09575918779355 42.44593879633743, -83.09575469774255 42.44591780255077, -83.09575020769456 42.44589680876393, -83.09574694686196 42.44587582872046, -83.09574491524347 42.44585486242048, -83.09573475419656 42.44520731885157, -83.09579504062373 42.44520526112731, -83.0961641157467 42.445193906928296, -83.0962100468032 42.44637909863735)))",Knudsen,0.98,126,Mini
"MULTIPOLYGON (((-82.98169014997916 42.35407044157795, -82.9806570898126 42.35437199249141, -82.97997152653967 42.353399279799156, -82.98100457392545 42.35309773512079, -82.98169014997916 42.35407044157795)))",Stockton,2.75,136,Neighborhood
"MULTIPOLYGON (((-83.04053321600031 42.36566947015629, -83.0387189623801 42.366333035167706, -83.03812908078542 42.365431921870176, -83.03994452274743 42.36476929099753, -83.04053321600031 42.36566947015629)))",Perrien,4.58,140,Neighborhood
"MULTIPOLYGON (((-83.13823666764036 42.38216857487388, -83.13658955899638 42.382794528780394, -83.13611665154048 42.38211101846625, -83.13776374689068 42.381485071408996, -83.13823666764036 42.38216857487388)))",Russell Woods,3.21,159,Neighborhood
"MULTIPOLYGON (((-83.23706643483389 42.39777930292688, -83.234921493299 42.39784445528821, -83.23490646885962 42.39711493844596, -83.23460409707299 42.39712376257147, -83.23416037374321 42.39713664002311, -83.23371663370084 42.39715042614741, -83.23342531610683 42.39715935739978, -83.23293119965413 42.397173548401796, -83.23243829471039 42.39718865992577, -83.23235067484735 42.39477750317485, -83.23284598415347 42.394764237364306, -83.23333883678097 42.39475094488231, -83.2336411807198 42.39474303453039, -83.23408485409077 42.39473197991837, -83.23452854382151 42.39472001316713, -83.23482474629198 42.39471203845001, -83.2352868592398 42.39470025233084, -83.23574898851226 42.39468755392523, -83.23604026124524 42.39468043752571, -83.23646059731878 42.39466914132655, -83.2368674061958 42.394658619585314, -83.23694114961471 42.39465662139944, -83.23706643483389 42.39777930292688)))",Stoepel No. 1,29.31,177,Community
"MULTIPOLYGON (((-83.17969256517596 42.36817223831416, -83.1794677575182 42.36817717231357, -83.17939395430585 42.366182231154376, -83.17946029994614 42.366180193251374, -83.17950264338462 42.36627806807331, -83.17954375929085 42.36637593004182, -83.17958487532596 42.36647379199524, -83.17962732301936 42.366566204378614, -83.17962846413776 42.36657076920819, -83.17962960525634 42.36657533403774, -83.17963271569087 42.36667006683784, -83.17963688070748 42.36677391646012, -83.17964002578293 42.366866828462506, -83.17964427737459 42.36696612609118, -83.17964854628968 42.36706451332092, -83.17965279790835 42.36716381094892, -83.17965583916794 42.36726218534173, -83.17966010812151 42.36736057257048, -83.17966435977873 42.367459870197514, -83.17966862875923 42.36755825742561, -83.17967165275324 42.36765754221583, -83.17967592175874 42.36775592944329, -83.17968019077772 42.367854316670396, -83.1796833186624 42.36794813906828, -83.17968748384844 42.368051988686254, -83.17969256517596 42.36817223831416)))",Wark,0.98,196,Mini
"MULTIPOLYGON (((-83.16153624467954 42.27387247566578, -83.16129652989532 42.27418292253405, -83.16117239723174 42.274325474612034, -83.16063738837154 42.27485611720079, -83.1600272622975 42.27533951808882, -83.15953846765883 42.27563480658137, -83.15884560871825 42.275957057638266, -83.15868243742733 42.27602543390328, -83.1584649396593 42.27611326377367, -83.15845238168872 42.27612860984612, -83.15844022836357 42.27612301681548, -83.15823295935559 42.276189101268564, -83.15821716356292 42.27618164821874, -83.1580916476598 42.27620489588597, -83.15801297949933 42.27621498416097, -83.15778478789156 42.276221656809284, -83.15756945375175 42.27619750630001, -83.15733902847792 42.2761294863873, -83.15700968387567 42.275977547403265, -83.15699211634488 42.27599830336218, -83.15617784119047 42.27562446733603, -83.15641373417296 42.27534652626695, -83.1567249565485 42.27497741984691, -83.15834635752462 42.27304970843111, -83.15884824554091 42.27328179239709, -83.15915946085072 42.27291176890538, -83.16153624467954 42.27387247566578)))",Kemeny,21.92,229,Community
"MULTIPOLYGON (((-82.98718448879377 42.408071021376486, -82.98685013143132 42.408188071838595, -82.98659554116263 42.40775426045429, -82.98692989667796 42.40763721073988, -82.98718448879377 42.408071021376486)))",Roseberry-Promenade,0.4,236,Mini
"MULTIPOLYGON (((-82.99069008319971 42.427964823511104, -82.98978735455458 42.42798849223995, -82.98977249096636 42.42765958217807, -82.99067398602806 42.42763589868731, -82.99069008319971 42.427964823511104)))",Josefiak,0.67,241,Mini
"MULTIPOLYGON (((-83.20009377186398 42.4428788019187, -83.19940130313095 42.44289536781293, -83.19940548911813 42.44300012686997, -83.19940540390536 42.44300467886752, -83.1991827863904 42.44300967713781, -83.1991828545736 42.44300603553991, -83.1991786860059 42.44290036607521, -83.1991760212318 42.4428457042311, -83.19070649485546 42.443047048385644, -83.19064735855049 42.44161956418217, -83.19406412661844 42.44153831078868, -83.19406527016554 42.44154287546293, -83.19409904553352 42.44236183114598, -83.19539419335754 42.44233056634784, -83.19536038389639 42.4415125214476, -83.19536046940239 42.44150796945284, -83.19795070995434 42.44144630675294, -83.19794396526848 42.44128142336302, -83.19807572390715 42.44140115279846, -83.19947725154094 42.4422532821074, -83.19992515713031 42.44256019136003, -83.20008690212896 42.442720291463054, -83.20009377186398 42.4428788019187)))",Comstock,25.86,272,Community
"MULTIPOLYGON (((-83.11554597154672 42.376304323587014, -83.1144347815325 42.37672005119006, -83.11425705534201 42.37645766233802, -83.11536699577782 42.37604283332878, -83.11536822361938 42.376042846860216, -83.11554597154672 42.376304323587014)))",Keidan,0.83,297,Mini
"MULTIPOLYGON (((-83.1017412176838 42.38415638179257, -83.10127475542676 42.38432419727342, -83.10105797898647 42.38399032613617, -83.10152443933123 42.383822511544395, -83.1017412176838 42.38415638179257)))",Calvert,0.43,29,Mini
"MULTIPOLYGON (((-83.14003229404784 42.36160966106303, -83.1400298389218 42.36160963453353, -83.13960976190843 42.36161784270191, -83.13960730678225 42.361617816163275, -83.13957331657203 42.36091083409286, -83.13999952657925 42.3609026923849, -83.14003229404784 42.36160966106303)))",Wiley,0.68,304,Mini
"MULTIPOLYGON (((-83.09321718889959 42.35910357468618, -83.09246544048327 42.35930093270703, -83.09234856359387 42.35913207146857, -83.09301553671507 42.35887730626142, -83.09321718889959 42.35910357468618)))",14th-Marquette,0.4,312,Mini
"MULTIPOLYGON (((-83.12353756947064 42.30235395989366, -83.12266228636734 42.30269584947221, -83.12303112097422 42.30216082601914, -83.12332535683142 42.302045675665155, -83.12332775527359 42.30204843372688, -83.12353756947064 42.30235395989366)))",Lafayette-NYCRR,0.56,317,Mini
"MULTIPOLYGON (((-83.04949213874688 42.33325257598999, -83.04937156775146 42.33326665646444, -83.04894032192712 42.33270709294198, -83.04901469148506 42.332614164719445, -83.04934231254674 42.33261705833145, -83.04948611303367 42.33278172535719, -83.04949213874688 42.33325257598999)))",Capitol,0.44,32,Plaza
"MULTIPOLYGON (((-83.12890217753123 42.328035672170145, -83.12826759768512 42.328290086097205, -83.12807046517031 42.32802022128859, -83.12870381618244 42.32776579507638, -83.12890217753123 42.328035672170145)))",Wingle,0.5,330,Mini
"MULTIPOLYGON (((-83.01215545782958 42.40015146677348, -83.01098002355646 42.400192079948994, -83.01095984503826 42.39987676928461, -83.0121352536222 42.39983706668809, -83.01215545782958 42.40015146677348)))",Traverse-McClellan,0.84,332,Mini
"MULTIPOLYGON (((-83.14286665949437 42.364776309015404, -83.14244042341879 42.364784461487076, -83.14240992157264 42.3640857135569, -83.14285152583608 42.364358187208595, -83.14286665949437 42.364776309015404)))",Dinning,0.54,338,Mini
"MULTIPOLYGON (((-83.12129026265384 42.39770620019753, -83.12092517885657 42.397839695444105, -83.12061497263271 42.39737826692002, -83.1209800543941 42.39724477266876, -83.12129026265384 42.39770620019753)))",LaSalle-Ford,0.47,348,Mini
"MULTIPOLYGON (((-83.08159238560094 42.41261934369558, -83.08116391046015 42.41277931378683, -83.08115795527306 42.41277014046136, -83.08099815052861 42.412534309422036, -83.08142662441179 42.412374339954646, -83.08159238560094 42.41261934369558)))",Victor-Riopelle,0.3,353,Mini
"MULTIPOLYGON (((-82.95578889941235 42.40591337296966, -82.95555596436434 42.405998809382105, -82.95540437766503 42.406018781015064, -82.95509643964417 42.405563289256435, -82.95546198448959 42.40542759619474, -82.95578889941235 42.40591337296966)))",Fiori,0.05,357,Mini
"MULTIPOLYGON (((-83.22490584175017 42.36478604541314, -83.22150106415516 42.36484736109582, -83.22140386373954 42.361578332663825, -83.22483298144601 42.361519087664284, -83.22490584175017 42.36478604541314)))",Stein,25.26,35,Sports
"MULTIPOLYGON (((-83.14873477446913 42.28716562746898, -83.14822248139028 42.287337687380514, -83.14847103430206 42.287043507481215, -83.14860471679972 42.28710595290126, -83.14873477446913 42.28716562746898)))",Penz,0.12,385,Mini
"MULTIPOLYGON (((-83.08275150729129 42.43624778175159, -83.08275027827159 42.436247767867506, -83.08230758746566 42.43625460368497, -83.08228055569326 42.435418373617665, -83.08272446956956 42.43541155178966, -83.08275150729129 42.43624778175159)))",Dequindre-Emery,0.84,404,Mini
"MULTIPOLYGON (((-83.2748776724741 42.38085194666435, -83.27444890438413 42.380859660706456, -83.2744073580562 42.37979481006307, -83.27440858600383 42.37979482187476, -83.27443896607599 42.37981332540733, -83.27447059004504 42.37983093033056, -83.27450221403193 42.379848535244975, -83.27453385396623 42.37986522973833, -83.27456673779594 42.379881025620584, -83.27459962164231 42.37989682149334, -83.27463374938343 42.379911718753554, -83.2746678930685 42.37992570559125, -83.27470203676886 42.37993969241868, -83.27473742436197 42.379952780631704, -83.27477282789606 42.379964958421425, -83.27480823144397 42.379977136200125, -83.27484487888229 42.379988415362455, -83.2748776724741 42.38085194666435)))",Wilson,0.94,406,Mini
