the_geom,NAME,ACRES,PARKID,NEW_CLASS
"MULTIPOLYGON (((-82.96072982990762 42.344508973617025, -82.96062373333882 42.344641519749636, -82.9594853030386 42.34444619635448, -82.95897221684206 42.34444529666385, -82.95843526242602 42.34468632253109, -82.95808647777521 42.34534674416297, -82.95755159574988 42.34603945769728, -82.95707173875202 42.34657804742881, -82.9564204966258 42.346877745211756, -82.95580816323036 42.3470850400904, -82.95548348645022 42.34732869120469, -82.95513786589011 42.34784708736573, -82.95480433708413 42.34815619097088, -82.95420846314597 42.34828627971263, -82.95399105683691 42.34840013278178, -82.95351059746766 42.34831219563198, -82.95306602205078 42.346367953886926, -82.95609638535728 42.34345526028562, -82.95786757975854 42.341609587142756, -82.95866392131599 42.34140456517131, -82.95942297484908 42.340566196714114, -82.9606457155838 42.339957581389086, -82.9613856421435 42.3397491098098, -82.97340282611714 42.33763077672616, -82.97519816869283 42.33687423199687, -82.97559912455527 42.33656134397964, -82.97921542693103 42.33549011915214, -82.9796302400208 42.33565727976219, -82.98073872692616 42.33537214358372, -82.98122487647065 42.33547733734988, -82.98141407061185 42.33508170950371, -82.98358551015288 42.33468112151697, -82.98416651672733 42.334881251960674, -82.98504161681649 42.334658794339965, -82.98488679950312 42.3344447364629, -82.98565055852252 42.33409525382601, -82.98561778534605 42.33452284256411, -82.98710065613722 42.33401090566668, -82.98729588320386 42.33361807370355, -82.98863013868835 42.333220868694326, -82.99937625230652 42.33294565246725, -83.0016731710505 42.33302794493201, -83.00497227106797 42.33319051828425, -83.00087002590217 42.33669896278264, -82.99797740880955 42.33965455090703, -82.9966698899545 42.34017239005325, -82.99329347546835 42.33999316344959, -82.98967569414044 42.34124238832412, -82.98958671190937 42.34154818452062, -82.98740261535394 42.34162364756635, -82.98690240831374 42.34192990654645, -82.97872298438051 42.34450554125787, -82.97810807923749 42.34510904055637, -82.97669267299862 42.3464904155854, -82.9763661693435 42.34648914798293, -82.97627992071678 42.34661375600846, -82.97660417319864 42.34660589014255, -82.97585038865405 42.347435329948794, -82.97367161786707 42.34792219425352, -82.97227699510178 42.34842047544524, -82.97109877180023 42.34868281999099, -82.97036770881084 42.35019364365248, -82.9704951411422 42.351467339853464, -82.96955748113176 42.35183917012937, -82.96821483318745 42.35143653387044, -82.96900614296041 42.35041819722209, -82.96906414746164 42.35034970479943, -82.9693041437906 42.350322609654604, -82.96950718827254 42.35019124904069, -82.96956467758505 42.35009087851472, -82.96947255882867 42.34998320257585, -82.96907741151767 42.34975705791066, -82.96892511617655 42.34965046168828, -82.96873503354475 42.349696383115614, -82.96874263952459 42.34990500760157, -82.96886480759714 42.35004128330559, -82.96870938236117 42.35018415671942, -82.96866183857834 42.35060791761248, -82.96807213343915 42.351394708432736, -82.96739759539315 42.351364539419336, -82.96659022611748 42.351016744387245, -82.96513660432159 42.34976218734939, -82.96503433436787 42.34994304746819, -82.96666359278296 42.35130358259008, -82.96738190163093 42.351626603073754, -82.96726088907097 42.3516578931997, -82.9653085331337 42.35145532328336, -82.96382674400579 42.35123668218007, -82.9641182510877 42.35104814501992, -82.96457662731552 42.3506995791457, -82.96431086996702 42.3503429768499, -82.96461241373542 42.35008990879666, -82.96465293214995 42.34992558791803, -82.9644799215161 42.34970308155555, -82.96388212904992 42.34959097352749, -82.95957370356302 42.34951214164544, -82.9563717071746 42.349418671250156, -82.95558852975621 42.3496338589443, -82.95456174834203 42.3501437824748, -82.95446590375971 42.35009341657766, -82.95439112920606 42.35003420661447, -82.95474733246684 42.34959152541318, -82.95480184202223 42.349026710146845, -82.95485355215911 42.349020068485196, -82.95492603272945 42.34880060070869, -82.9550981327482 42.34868162926738, -82.95545290859528 42.34873612527419, -82.95561650549219 42.3487217683096, -82.95578860397836 42.34860279582122, -82.95758722133844 42.34843209061563, -82.96001225016845 42.3481370834453, -82.96090333739747 42.3477620232641, -82.96172292076565 42.34690890818977, -82.96187134456822 42.34653192922995, -82.96149473281501 42.345811522392296, -82.961026534022 42.345233857185676, -82.96091147342086 42.34500113542176, -82.96084813536352 42.34487013268526, -82.96090048371009 42.34467135618157, -82.96076809565045 42.344554067883664, -82.96072982990762 42.344508973617025)), ((-82.97361801926021 42.34812369266757, -82.9762296099337 42.347550160948984, -82.97643660744673 42.347957009231884, -82.97266236695168 42.35018451616724, -82.97183874307008 42.35138824572422, -82.97106970732301 42.35108193161493, -82.97170207226384 42.349592655810056, -82.9725708557612 42.34850968328781, -82.97361801926021 42.34812369266757)))",Belle Isle,981,15,Regional
"MULTIPOLYGON (((-82.98834296467166 42.383666152188, -82.98833058452114 42.38367055497158, -82.98796020605398 42.38381175642723, -82.9879578506755 42.38380717477559, -82.98734735356078 42.38403105607762, -82.98691226642562 42.38337650472099, -82.98579037205567 42.38378630170149, -82.98509971692587 42.38274799948913, -82.98618711463048 42.38228679588873, -82.98615615486165 42.382242710162295, -82.98666814270348 42.38202947621669, -82.98669787469032 42.38201799960188, -82.98678167618374 42.38211645337813, -82.98716072324653 42.38197171871872, -82.98834296467166 42.383666152188)))",Brewer,8.28,161,Neighborhood
"MULTIPOLYGON (((-82.98516579746853 42.4444645223383, -82.9847610208029 42.44447690351889, -82.98305097490952 42.44452439630164, -82.98295347191846 42.442380544125236, -82.98507803462817 42.442321701857864, -82.985079263745 42.44232171679809, -82.98507924357367 42.44232262716255, -82.98516579746853 42.4444645223383)))",Egan-Wish,10.28,165,Neighborhood
"MULTIPOLYGON (((-82.963124602947 42.44261093735312, -82.96091552900278 42.442653754668584, -82.9607046493246 42.43652089221339, -82.96291719316511 42.436478124527206, -82.963124602947 42.44261093735312)))",Heilmann Playfield,30.98,175,Community
"MULTIPOLYGON (((-83.20914350633971 42.36505985538418, -83.20620317154751 42.365102682842476, -83.20615087916445 42.3632919239348, -83.20370908615922 42.3633370497092, -83.20366519865048 42.36180410064376, -83.20690284312212 42.36174343512147, -83.2068687385089 42.36047283376158, -83.20889884899732 42.360441654612224, -83.20891702372012 42.36071956543719, -83.20893158085704 42.36079529165179, -83.20894928052593 42.36090018832231, -83.2089669802543 42.36100508498989, -83.2089834524747 42.361109969135356, -83.20899868030058 42.36121575116239, -83.20901269748664 42.36132061026526, -83.20914350633971 42.36505985538418)))",Stoepel No. 2,36.2,178,Community
"MULTIPOLYGON (((-83.0240099815138 42.436650795385745, -83.02400875249953 42.43665078086648, -83.02366930931112 42.43665769749666, -83.02359182258824 42.436659513638766, -83.02359553635931 42.43677247231053, -83.01922704380081 42.436860997211745, -83.01922774169878 42.43688559178984, -83.01922651268102 42.43688557721885, -83.01908016120389 42.43688839503034, -83.01891289673505 42.43689187526143, -83.01874686126541 42.43689536982257, -83.01857959675928 42.43689884956318, -83.01839881303749 42.43690216867913, -83.01821678059265 42.43690638329613, -83.01803599682971 42.43690970183502, -83.01785396433837 42.436913915870946, -83.01767440955231 42.43691724842054, -83.01767318053429 42.43691723383276, -83.01764769271333 42.436106493620755, -83.01920124073452 42.43606391290639, -83.01920193861339 42.43608850748544, -83.01931387615109 42.436085281561084, -83.01930373155656 42.435758254504606, -83.02356132154662 42.435678433622904, -83.02356709478106 42.4358669967002, -83.02364212252257 42.435865151528446, -83.02398403899893 42.435857353646846, -83.0240099815138 42.436650795385745)))",Lipke,14.36,187,Neighborhood
"MULTIPOLYGON (((-83.25707246826984 42.41113055762887, -83.25485225996609 42.41118898148522, -83.2546803393536 42.40766704477233, -83.25641854596896 42.40762121662911, -83.2564205169237 42.40764855291173, -83.25686932153612 42.40763017405896, -83.25690956013133 42.40895999533868, -83.2569464318742 42.40895944495067, -83.25696825904684 42.40932115334901, -83.25698885794003 42.409682849739056, -83.25700184721101 42.40991972408602, -83.25700299478292 42.409924288131045, -83.25699685209639 42.409924228131445, -83.25690218994728 42.40992694573152, -83.25690333751203 42.40993150977753, -83.25691640748205 42.410163832087385, -83.2569163265101 42.41016838413242, -83.2570109890249 42.41016566652059, -83.25701590319316 42.4101657145197, -83.25701705077061 42.41017027856454, -83.25702449876415 42.41030420468798, -83.25704054243381 42.41057662097621, -83.25707246826984 42.41113055762887)))",Hope,17.47,190,Neighborhood
"MULTIPOLYGON (((-83.1276352402996 42.431755951085044, -83.1259087236154 42.43172982959602, -83.12471946855 42.43176054736565, -83.12421748487648 42.43172227928617, -83.11535821326166 42.4319856702516, -83.10682473687726 42.4192205363826, -83.10690632363867 42.419257864583486, -83.10698915757355 42.41929429596186, -83.1070719916052 42.41933072727981, -83.10715607280845 42.41936626177158, -83.1072401541075 42.4194017962011, -83.10732427226223 42.41943550979643, -83.10740839050789 42.41946922332945, -83.1074937375397 42.41950295041673, -83.1075803501122 42.41953487028347, -83.10766573407679 42.41956677646948, -83.10775234682593 42.41959869620505, -83.10784022510647 42.41962880871531, -83.10792687477344 42.4196589075457, -83.10801477159298 42.41968810953485, -83.10810266849481 42.41971731145598, -83.10819183091388 42.41974470614591, -83.10828099341127 42.419772100765854, -83.10837015598696 42.4197994953158, -83.10845935536793 42.41982506902348, -83.10854978352438 42.419850656266256, -83.10864023011588 42.4198753330509, -83.10873067677892 42.41990000976354, -83.10882116023 42.419922865631754, -83.10891287245168 42.41994573502911, -83.10900460309617 42.41996769396623, -83.10909633380523 42.41998965282926, -83.1091880829318 42.42001070123198, -83.10928107917788 42.420030852771575, -83.10937409383425 42.42005009384877, -83.10946712689687 42.42006842446352, -83.10956016001415 42.420086755002096, -83.10965321153225 42.42010417507816, -83.10974628144712 42.42012068469167, -83.1097658673957 42.420124543710635, -83.10984791568241 42.42013911013974, -83.10992996400745 42.420153676509585, -83.11001203071176 42.4201673324338, -83.11009411579171 42.42018007791234, -83.11017620090522 42.4201928233316, -83.11025955143661 42.420203761505356, -83.11034167328734 42.42021468603222, -83.11042502387697 42.4202256240846, -83.11050841116324 42.42023474130292, -83.11059179847388 42.420243858460054, -83.11067520414016 42.42025206516949, -83.11075862815846 42.42025936143122, -83.11084207052512 42.42026574724518, -83.11092674162002 42.420272146577325, -83.11101020234737 42.4202776218813, -83.11109491012596 42.420282200315036, -83.11117840752942 42.42028585472237, -83.11126192326539 42.42028859868177, -83.11134666772033 42.42029135615469, -83.11143020179134 42.42029318960382, -83.11151498289802 42.420294126178, -83.1115899343133 42.42029495411118, -83.1119860574353 42.4203366631158, -83.11207927480093 42.420345887724785, -83.11217247388468 42.420356022644036, -83.11226444428542 42.420366143921875, -83.11235762512274 42.420377189075964, -83.11244955897388 42.42038913097749, -83.1125427032702 42.42040199675335, -83.11263460058785 42.42041575927869, -83.11272649794607 42.42042952172971, -83.1128183770448 42.420444194493214, -83.11291023788802 42.42045977756929, -83.11300087006153 42.42047534701406, -83.11309271270014 42.42049184032945, -83.11318330837628 42.420509230402416, -83.11327388580949 42.42052753079004, -83.11336444500374 42.42054674149237, -83.11345500425375 42.42056595212254, -83.11354431655218 42.42058605951632, -83.11363361061996 42.42060707722682, -83.11372413346668 42.420628108416345, -83.11381216236481 42.42065093321124, -83.11390142004707 42.42067377148522, -83.11398944907451 42.42069659614273, -83.11407744160284 42.42072124150608, -83.1141654342007 42.42074588680128, -83.1142534085889 42.42077144241536, -83.11434015432692 42.42079698441877, -83.11442686358261 42.420824347130086, -83.11451357291438 42.420851709775214, -83.11459905359828 42.42087905881442, -83.11468449781125 42.42090822856351, -83.11476994210413 42.420937398248334, -83.11485413948074 42.420967464719055, -83.11493833693851 42.42099753112734, -83.11502249794131 42.42102941824753, -83.11510665903018 42.42106130530536, -83.11518959147682 42.421093178767485, -83.11527248747934 42.42112687294343, -83.1153541548418 42.42116055352732, -83.11543582229245 42.421194234052464, -83.1155174533095 42.421229735293345, -83.11559785568774 42.42126522294661, -83.11567825815746 42.421300710542944, -83.11575739547065 42.42133800532969, -83.11583653287848 42.421375300061285, -83.11591565212576 42.42141350512498, -83.11599354273451 42.4214516966089, -83.11607141518574 42.421490798426696, -83.1161492877346 42.42152990019108, -83.11622589514192 42.42157080915459, -83.11630127391103 42.421611704545064, -83.11637665277898 42.42165259988547, -83.11645201349836 42.42169440556321, -83.11652612733123 42.42173710805938, -83.11660024126557 42.42177981050715, -83.11667310831425 42.421823409776636, -83.11674595722162 42.42186791938674, -83.11681757748823 42.42191241543433, -83.11688917961592 42.42195782182413, -83.1169595531013 42.42200321465454, -83.11702990845002 42.42204951782875, -83.11710024566516 42.42209673134681, -83.117168125488 42.42214391779736, -83.1172372159278 42.42219202810597, -83.11730384897156 42.42224011135156, -83.11737169263618 42.42228911845525, -83.11743707890088 42.42233809850028, -83.1174963944265 42.42238336941569, -83.11749881547017 42.42238521720751, -83.11752297121907 42.42240642628529, -83.11754714521601 42.422426724970386, -83.11757133745995 42.42244611326282, -83.11759798723054 42.42246552856473, -83.11762342649206 42.422484019965786, -83.11765132328173 42.42250253837465, -83.1176780095608 42.42252013288268, -83.11770717159875 42.422536844009144, -83.11773510489475 42.42255354162232, -83.11776428519211 42.422569342346556, -83.11779469426243 42.42258515656849, -83.1178251215758 42.422600060394714, -83.11785556713089 42.42261405382521, -83.11788725968543 42.42262715036417, -83.11791895225326 42.422640246894275, -83.11795187359398 42.42265335691902, -83.11798483139916 42.42266464615906, -83.11801778921627 42.42267593538951, -83.11805076526964 42.42268631422285, -83.11808497009446 42.422696706548635, -83.11811921137739 42.42270527808891, -83.11815468143052 42.42271386312015, -83.1181889409548 42.42272152425181, -83.11822442924861 42.422729198873654, -83.11825993577244 42.422735963096805, -83.11829546052479 42.42274181692124, -83.11833100350411 42.42274676034691, -83.11836656470878 42.42275079337383, -83.11840335467974 42.422754839888206, -83.11841193779239 42.4227558447657, -83.11844749900747 42.422759877767284, -83.11848184968338 42.42276298687235, -83.1185162185803 42.42276518557935, -83.11855181624158 42.42276739777296, -83.11858620335995 42.42276868607113, -83.11862183745778 42.42276907746744, -83.1186562610096 42.422768544969045, -83.11869193153784 42.422767115568, -83.11872637330248 42.422765672660695, -83.11876083327952 42.42276331935521, -83.11879654022937 42.422760069145944, -83.11883101841366 42.42275680543147, -83.1188655330193 42.422751720931096, -83.1188988188577 42.422746622927, -83.11893335166367 42.42274062801832, -83.11896788446299 42.422734633099104, -83.11898765390957 42.4227293866508, -83.11901607931208 42.42272150347993, -83.1190432759464 42.42271360681026, -83.11907171954411 42.422704813237715, -83.11909895258219 42.422695095779204, -83.11912497506002 42.422684454435625, -83.11915099752896 42.42267381308607, -83.11917703819694 42.42266226134278, -83.11920185009545 42.422650696103574, -83.11922668019194 42.42263822047116, -83.11925152848532 42.42262483444553, -83.119275148009 42.42261143492528, -83.11929755696987 42.42259711152342, -83.11931998412625 42.42258187772932, -83.11945367305124 42.422534173487186, -83.11991683143417 42.42235895998057, -83.12013523465185 42.42268461472249, -83.1201646703275 42.422687669399274, -83.12020633903536 42.42269359002392, -83.12024676079785 42.42270040754255, -83.12028718256919 42.42270722504683, -83.1203275861582 42.42271495292466, -83.12036797156671 42.422723591176116, -83.12040712822474 42.422732215936264, -83.12044626670418 42.42274175107091, -83.12078316830531 42.422857447807495, -83.12082331747797 42.422877920941396, -83.12087194074958 42.422904861081, -83.12092054588065 42.422932711587805, -83.12096792228884 42.42296054860294, -83.12101528055815 42.422989295986376, -83.12106263887111 42.42301804335002, -83.12110875027989 42.42304768761263, -83.12115363296385 42.42307731838766, -83.12119849751194 42.423107859533026, -83.1212421151562 42.42313929758083, -83.12128573284446 42.42317073561186, -83.12132933240001 42.42320308401422, -83.12137170322899 42.42323541893333, -83.12141282715403 42.42326865075868, -83.12145395112289 42.42330188256908, -83.1214938281875 42.42333601128754, -83.12153245834755 42.42337103691532, -83.12157108855097 42.423406062529935, -83.12160971879777 42.42344108813136, -83.12166764607751 42.42349453689697, -83.12173039771413 42.423552591424304, -83.12179190251825 42.42361154284306, -83.12185217865819 42.42367048076713, -83.12191243674371 42.42373032904727, -83.12197146616205 42.423790163835314, -83.122030477527 42.42385090898078, -83.12208826022164 42.42391164063672, -83.12214479607738 42.423973269193226, -83.12220133204481 42.42403489772148, -83.122256639335 42.424096512764535, -83.12231069978174 42.42415902471243, -83.1223647603368 42.42422153663447, -83.12241757404645 42.42428494546371, -83.1224703878635 42.42434835426826, -83.1225207260379 42.424412646528275, -83.12257229311255 42.424476952219344, -83.122621402698 42.424541230980935, -83.12267049422717 42.42460642010944, -83.12271835705856 42.42467159576462, -83.12287873185845 42.4248882498432, -83.12304145647704 42.42511039292054, -83.12309755872705 42.42519387031987, -83.12315243231482 42.42527733424401, -83.12320605908552 42.4253616950831, -83.12325845718553 42.4254460424505, -83.12331085542725 42.42553038979351, -83.123363235663 42.42561564750044, -83.12341315840038 42.42570087829415, -83.12346308127418 42.42578610906567, -83.12351175731467 42.42587223676002, -83.12355920466368 42.42595835099039, -83.1236066521437 42.42604446520071, -83.12365285278185 42.426131476337474, -83.12369782471782 42.42621847401388, -83.12374156794648 42.42630545823133, -83.12378531129713 42.42639244243166, -83.12382780779244 42.426480323563354, -83.12387030440749 42.426568204678865, -83.12391034346287 42.42665605890014, -83.12395038263102 42.426743913107046, -83.12398917492989 42.42683266424976, -83.12402796733916 42.426921415378956, -83.12406430216537 42.42701013961989, -83.1241006189576 42.427099774237334, -83.12413572514079 42.42718848501786, -83.12417081328746 42.42727810617568, -83.1242046726812 42.42736771388649, -83.12422096985152 42.427413421408616, -83.12426095553803 42.42750400666891, -83.1243021883335 42.42759369496121, -83.12434465010763 42.42768339667262, -83.12438713013722 42.42777218797944, -83.12443204988216 42.42786191652536, -83.12447575902311 42.42795072123185, -83.12452192602271 42.428039552786124, -83.12456811128465 42.42812747393291, -83.12461550741722 42.42821631888052, -83.12466415068666 42.4283042668505, -83.12471404109613 42.42839131784129, -83.12476391351677 42.42847927919834, -83.12477934506754 42.42850676543917, -83.12480905184209 42.42855808293122, -83.12484949228794 42.42862590826865, -83.12489116170181 42.428693747019956, -83.12493283120632 42.42876158575583, -83.1249757478093 42.428828527515286, -83.12501989338848 42.428895482685405, -83.12506405718625 42.428961527449715, -83.1251094318411 42.42902849601129, -83.12515605360392 42.429094567591655, -83.12520392247667 42.429159742189256, -83.12525179144949 42.42922491676654, -83.12530088941426 42.42929010474752, -83.1253500056014 42.42935438231861, -83.12540035078425 42.42941867329123, -83.12545192496663 42.429482977663795, -83.12550351737293 42.42954637162421, -83.12555756768063 42.429609792403575, -83.12561040731478 42.429672289347856, -83.12566570485633 42.42973481310757, -83.1257210206232 42.429796426451645, -83.12577633649936 42.429858039768654, -83.12583411029368 42.42991967989511, -83.12589190231421 42.429980409603445, -83.12594969444729 42.43004113928225, -83.12600873371132 42.43010097195928, -83.12606900199786 42.43016081802121, -83.1261292885087 42.4302197536624, -83.12619080404504 42.43027870268589, -83.12625356671728 42.430336754700996, -83.12631632950634 42.43039480668133, -83.12638033943234 42.43045196165054, -83.12644434947563 42.43050911658357, -83.12650960665677 42.43056537450269, -83.12657609287403 42.43062164579446, -83.12664259731253 42.43067700665851, -83.12670910186911 42.43073236748351, -83.12677808248654 42.430786844696875, -83.12684583430166 42.430841308460955, -83.12691606218026 42.43089488860891, -83.1269862901795 42.43094846871337, -83.12705653639475 42.43100113838553, -83.12712802974997 42.4310529110297, -83.1271995232239 42.43110468362878, -83.12721042073859 42.43111299775852, -83.12723704102733 42.431134231571164, -83.12726243240513 42.431155451974746, -83.1272877876162 42.43117849315021, -83.12731193200764 42.43120061052898, -83.12733604023359 42.431224548680184, -83.12735893763809 42.4312475630357, -83.12738058803744 42.43127147437385, -83.12740222036302 42.431296296096676, -83.12742262377344 42.431321104414316, -83.12744302720007 42.43134591272825, -83.12746218362007 42.431371618026695, -83.12748011112195 42.43139730992142, -83.12749679161519 42.43142389880186, -83.12751347212263 42.43145048767985, -83.12752892370881 42.43147706315542, -83.12754314637215 42.43150362522914, -83.12755735095944 42.43153109768986, -83.12757032662216 42.43155855674932, -83.12758207335864 42.43158600240793, -83.12759380201781 42.43161435845411, -83.12760307281013 42.43164268770087, -83.12761234361088 42.43167101694682, -83.12762161442002 42.431699346192, -83.12762842735673 42.43172764863874, -83.1276352402996 42.431755951085044)))",Palmer,281.29,133,Regional
"MULTIPOLYGON (((-83.16752942777117 42.43889487229923, -83.1666737709433 42.438896768520614, -83.16666946502306 42.43880111219548, -83.16601283406544 42.43880965746248, -83.16542812285718 42.43884991878766, -83.16451696453565 42.4388612285443, -83.16451620931718 42.43883663489682, -83.16361611281985 42.43884805443126, -83.1635471930228 42.43681308880291, -83.1674560732437 42.43676425274656, -83.16752942777117 42.43889487229923)))",Van Antwerp,18.18,139,Neighborhood
"MULTIPOLYGON (((-83.07914947606231 42.31367980739538, -83.07852227684695 42.31282821320646, -83.08028431057565 42.31106074246756, -83.08154510562338 42.31245434003298, -83.07914947606231 42.31367980739538)), ((-83.07882169872921 42.315545142385886, -83.07712013298764 42.31654658957065, -83.07645326023744 42.31556739996603, -83.07659856338492 42.31548254592987, -83.07815598030584 42.31456870786391, -83.07882169872921 42.315545142385886)), ((-83.07805602295545 42.314418234573246, -83.07649615504307 42.31533204336378, -83.07576502363484 42.31425741649662, -83.07728005242308 42.313494267242014, -83.07753248547294 42.31386592798054, -83.07764032755632 42.31381251778665, -83.07775435689182 42.313953597728, -83.07805602295545 42.314418234573246)))",Riverside,19.96,151,Neighborhood
